Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
31-00:00,0.847817471,1.477247045,4.496219031,-0.554158052,-1.046868067,0.151201134,0.722908353,-0.469630061,0.095125159,-0.334867273,-1.57474925,-0.605535184,0.054731354,0.875097633,0.584435032,0.984718651,2.050892083,0.996658255,-0.057158784,1.07701557,0.653982261,1.225905714
31-01:00,2.354961987,1.673433396,-1.074182465,0.941497982,0.961540881,-0.658254881,0.660270243,0.534068611,-0.832758795,-1.024536287,-1.494808864,-2.049911367,-1.206644598,1.175724513,0.96853073,0.080071724,-1.703101656,0.850746213,-0.15623054,-0.67134847,0.13393664,-2.557045064
31-02:00,0.877960361,1.605106426,-1.003728857,0.951885516,-0.234755271,-0.77331583,0.685561363,1.016980236,-0.647187986,-0.780760663,-1.477044334,-1.670034111,-0.97743254,0.811989762,0.645717717,0.137560257,-1.609020251,1.050617901,-0.180226734,0.462064702,0.078909458,-1.61130737
31-03:00,1.015277973,1.448833849,-0.814678341,1.006154675,-0.534912423,-0.670790704,0.932182544,1.054855657,0.455634961,-1.363970702,-1.473713485,-0.899746959,0.298490927,0.754717208,0.402097468,1.376221941,-0.873892784,1.033079169,-0.166688216,1.128097751,-0.713946981,-2.724597018
31-04:00,0.78083327,0.86703984,0.781356827,0.999120519,-0.188269202,-0.592217955,1.137525472,0.458317767,0.684570423,-0.499955829,-1.346030923,-0.955921045,0.569216623,0.641684959,0.121578138,1.549325514,0.107658128,1.160458325,-0.314629971,0.984019805,-1.020859152,-2.743213902
1-08:00,-2.122931832,0.68573659,-0.226651651,-0.613715229,-0.710423679,-1.445773205,0.152875337,-0.535912049,0.528652065,-1.88855116,0.733529397,-0.47212173,-0.281812975,-0.70886671,-0.404287713,0.265225914,-0.398642917,-1.766803771,2.020567968,0.682984219,-1.281269478,-0.267168363
1-09:00,-2.370773374,-0.430496101,1.426137813,0.10144712,-1.673668891,-1.200205382,0.387047521,-0.55484976,1.553269102,-0.26698039,0.739080813,0.102258298,1.095588276,-0.518894728,-0.930153564,1.413862398,-0.74018145,-1.619790101,-0.401163562,1.842375081,-1.931520262,-0.074669785
31-06:00,0.697103019,-0.159894237,0.604309519,0.738033282,0.348697587,-0.515995673,0.934803385,-0.232908676,0.488337891,0.009195792,-1.409317062,-0.755800864,0.795590142,0.924805888,0.247811837,1.26273348,-0.309640394,0.970272908,-0.200018991,0.900847537,-0.978232461,-2.352259343
31-07:00,0.646864869,-0.069919117,1.303887756,1.125437691,0.832714753,-0.475030393,0.637599964,-0.119282412,-0.015918261,0.399545368,-1.412647912,-0.731224701,0.350826497,1.318797837,0.668375047,0.90249091,0.11635083,0.989087917,-0.247446764,0.62600794,-0.634893847,-1.08593891
31-08:00,1.383691077,-0.329020402,1.168068855,1.006303494,1.209591482,-0.510287396,0.43631934,0.212127527,-0.593939182,0.873210664,-1.403765647,-0.935557939,-0.454963879,1.487157535,1.085054144,0.286917025,0.281528443,0.994549039,-0.529411253,-0.182574955,-0.086947119,-2.370876227
31-09:00,0.680356969,-0.312107786,1.104399668,1.168495854,1.458063619,-1.035113067,-0.218235814,-0.119282412,-0.765065076,0.566176808,-1.40487593,-0.827422823,-0.701384582,0.907083814,0.988167083,0.102046379,-0.082775527,1.000856534,-0.910742081,-0.80472972,0.039382891,-0.896046696
31-10:00,1.283214776,-0.148393657,-0.164026221,0.958800617,1.581046789,-0.989670708,-0.655392169,-0.602194037,-0.782560471,1.027499034,-1.363795454,-1.134273767,-0.822199916,0.961330649,0.48797954,0.084041339,-0.391610619,0.951874368,-0.825294763,-0.050721805,0.13393664,-2.21821778
